,wb_subclass_label,wb_cluster_label,x,y
100808301997469310904146844494932819179,284_SMC-Peri,4003_SMC-Peri,-60837.65953587241,39507.85061542939
100854889993157524801422675556427239948,111_HY/TH Gnb3,1565_HY/TH Gnb3,-58860.62123618718,39176.55915056301
100871360524620968489490005292245684263,282_Micro-PVM,3982_Micro-PVM,-62127.88266510148,40337.9390940144
100918532356347784847221493056563621877,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62122.29436419678,39374.81586650851
100925446831735863533045491626601947145,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62395.203646608505,39069.51333864817
100926690078807143018303339371361146868,284_SMC-Peri,4006_SMC-Peri,-60886.93107083112,39004.51445396911
100946821153931822159577008226086516169,279_Astro,3933_Astro,-62164.98125535073,40204.07860078214
100960794254673777797656196428727371824,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-59391.03657389939,40506.40510691122
101073322803821858079230028032916733448,276_Oligo,3913_Oligo,-58478.04702184908,39693.27434538813
101074207559940284917247478943626754620,276_Oligo,3914_Oligo,-60574.19972456927,40404.78683288278
101083549395820810085272473379548908471,111_HY/TH Gnb3,1564_HY/TH Gnb3,-63203.9768068668,40419.52162742258
101086496339893232720268505855699360682,138_TH Prkcd_Grin2c,2016_TH Prkcd_Grin2c,-59160.00249845458,39703.33846997423
101098932180245261237838997624160749264,285_Endo,4017_Endo,-62780.11174529376,40289.29709209603
101118929961732132088417279646787891372,285_Endo,4015_Endo,-61722.91540397724,39126.1729841432
101136694245204225503215547340367440936,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-59541.11254449014,39918.19464291606
101137268381523158663967110110189304155,279_Astro,3931_Astro,-60388.377174222216,39602.29378824887
101167611507262686011460710987752179029,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-59489.76962133723,40160.94724483729
101174864086877039856030435185677920597,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62659.83010585711,39971.431476180645
101207127489806258405159127946463381337,111_HY/TH Gnb3,1564_HY/TH Gnb3,-63248.866957769445,40386.660504586944
10120731060490871480730766767144619462,279_Astro,3947_Astro,-60383.79677724613,40148.19241707676
101213880733266294039503979299747029219,138_TH Prkcd_Grin2c,1997_TH Prkcd_Grin2c,-59918.26983268442,38863.84130591479
101217432213991796590689244459987731465,279_Astro,3949_Astro,-61371.602244741436,38541.69815123308
101270485974898449544900074846539979449,138_TH Prkcd_Grin2c,2016_TH Prkcd_Grin2c,-59241.05177155674,39977.210117797884
101298618920321527861240565300178394397,275_OPC,3893_OPC,-59062.44677987301,39000.40840724699
101324724058783803605874928461632557623,276_Oligo,3915_Oligo,-62188.95502597285,38801.675280019655
101332676821994366199715662059490838032,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-63209.916321316734,40073.08218168076
101338242984471033370313458140610784829,138_TH Prkcd_Grin2c,2010_TH Prkcd_Grin2c,-60532.6275880243,39625.36111538103
101350038391669777178947951034653450340,138_TH Prkcd_Grin2c,2013_TH Prkcd_Grin2c,-61897.414095718465,38977.604574374935
101363721009009048044020113304376858736,134_TH PVT_Ntrk1,1938_TH PVT_Ntrk1,-61147.05969907041,40152.965248081375
101403677288704716267435859699099389396,128_TH MH_Tac2,1854_TH MH_Tac2,-60722.11747449146,40642.996149449704
101412812560128278665707058227719875989,138_TH Prkcd_Grin2c,2011_TH Prkcd_Grin2c,-61021.48909529048,39822.13235086459
101426502579861747135567964427106986790,285_Endo,4017_Endo,-59263.16599765365,39823.08298332279
101444423474407649784644649048373677578,138_TH Prkcd_Grin2c,1990_TH Prkcd_Grin2c,-61999.471564156986,39686.74742985933
101451658166330036972218657306634212704,276_Oligo,3913_Oligo,-61980.01595312373,40134.153864322114
101471373390148771632956707338061890526,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-61333.276276072975,40124.911402687685
101485502942136179383164849449183598827,128_TH MH_Tac2,1841_TH MH_Tac2,-61254.28274145795,40506.94539701414
101499444024410120800514486391042843458,138_TH Prkcd_Grin2c,2010_TH Prkcd_Grin2c,-60354.515408484716,40079.75480020621
101504849562378613698660549078957835332,279_Astro,3949_Astro,-63141.953340499436,39700.82133141439
101506513486110781021661168402484716232,138_TH Prkcd_Grin2c,2010_TH Prkcd_Grin2c,-61910.5523422316,40228.490489626565
101519934316527429649498779439721916382,285_Endo,4017_Endo,-59911.94494815714,39833.731128184576
101529502176907478509576952358952148535,111_HY/TH Gnb3,1566_HY/TH Gnb3,-63400.76270305341,39606.282746285564
101546416352969700796068651948623734430,137_TH_Rxfp1_Epb4,1962_TH_Rxfp1_Epb4,-60996.221697217065,40004.65776167653
101577249724550155426360381193212061095,138_TH Prkcd_Grin2c,2025_TH Prkcd_Grin2c,-62811.74860463823,40468.343206954254
101581208637680313119667225840424007227,244_MY Hoxb8,3687_MY Hoxb8,-63128.21741075248,40469.604828361356
101595502691469248449719737361284451507,128_TH MH_Tac2,1843_TH MH_Tac2,-60931.099870838094,40482.57235670128
101600044846542735635088050019912733173,128_TH MH_Tac2,1839_TH MH_Tac2,-60978.41762294692,40652.32949656297
101616401328053095469172735867872412780,279_Astro,3933_Astro,-59825.073940192284,40429.47909826541
101643119193639708441798141240675397521,275_OPC,3893_OPC,-60080.47305805068,39660.47633977805
101668188364903260609250438077328521977,279_Astro,3952_Astro,-59374.5421390076,40478.40123638591
101669131550667233457049905608291391699,276_Oligo,3914_Oligo,-60366.17959345515,38661.89623590991
101691875024650402366602481340396008523,279_Astro,3949_Astro,-62226.37321745802,40570.27763761099
101715874866614480029116147339662023969,138_TH Prkcd_Grin2c,2016_TH Prkcd_Grin2c,-59540.63877738173,39826.750009406656
101723582203485390073456713318216161414,279_Astro,3933_Astro,-60993.48019829912,38954.61473150556
101734603566534277914319835828186911042,279_Astro,3949_Astro,-60317.54064390593,38877.07662835209
101744605519934109074422883894522253131,276_Oligo,3905_Oligo,-60570.13553441539,39622.379798644026
101765616552841918368624078599683304745,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62243.7653856541,39903.92907036866
101786671708094149747892322517058855224,138_TH Prkcd_Grin2c,2016_TH Prkcd_Grin2c,-62940.516812805196,39878.68132759991
101793331922340517363756311040503077564,279_Astro,3933_Astro,-63268.24679032694,39756.81210929006
101804724882119758842869468213646399178,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62734.893283398145,40501.162858558026
101818624266621168256302489359987331540,276_Oligo,3915_Oligo,-60426.67976021972,39027.91252036276
101824820792922949377877079924325030934,275_OPC,3893_OPC,-60141.27060623685,40508.51973688503
101860783288129609847406369340796900563,133_TH PF_Fzd5,1928_TH PF_Fzd5,-60454.44162783631,40413.28719702771
10186334669132618047247962413115396644,138_TH Prkcd_Grin2c,2010_TH Prkcd_Grin2c,-60159.547536061276,40188.098238422186
101878230516318957389297713764363710842,284_SMC-Peri,4010_SMC-Peri,-60603.54263844451,39476.97572140026
10188924747851217225458435435801749973,276_Oligo,3913_Oligo,-60711.51678199473,39042.76843149029
101897300191816217516256741942612317100,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-60797.63872422499,39204.95928028271
101898074100711415175134896299073772267,138_TH Prkcd_Grin2c,2026_TH Prkcd_Grin2c,-60387.65708796122,40044.56127093287
101919867114715209182305002113821759701,276_Oligo,3914_Oligo,-62074.09287974306,39575.884988168145
101925490376684075705768857253607721337,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62267.607991093835,39503.44339100373
10192697529485186245690735843303734843,279_Astro,3949_Astro,-61530.42376979832,39165.32149804596
101930784699744347936011035499235232495,138_TH Prkcd_Grin2c,2016_TH Prkcd_Grin2c,-59822.84226524356,39390.5886375627
101982697018252930502481891133542240283,279_Astro,3933_Astro,-61507.882233171295,39407.64914807066
102040626050483371100544977990508532983,129_TH LH_Pou4f1_Sox1,1860_TH LH_Pou4f1_Sox1,-61393.472493130146,40418.857747158705
102060589625622081444377558865045119054,138_TH Prkcd_Grin2c,2001_TH Prkcd_Grin2c,-60537.39517272686,40063.797987854916
102090756790495574546914840477185710382,276_Oligo,3914_Oligo,-59437.22450566918,38943.695699369484
102094075395116290066838473952057611299,138_TH Prkcd_Grin2c,2000_TH Prkcd_Grin2c,-59230.37611948139,40635.70732324272
102130797482145455328917364817789333221,137_TH_Rxfp1_Epb4,1970_TH_Rxfp1_Epb4,-60534.63885900574,39490.79587245825
102146765246261968421675045261672725579,276_Oligo,3915_Oligo,-63241.20304790872,39679.4459753729
102176526000496756693577175438298852657,128_TH MH_Tac2,1848_TH MH_Tac2,-61268.711060483685,40625.271993243136
1021913868715173277577239558400341946,134_TH PVT_Ntrk1,1936_TH PVT_Ntrk1,-61122.439901548634,39912.011566724585
10220398028520453280041222715796126074,279_Astro,3933_Astro,-60731.91720511971,39411.19239693312
10220767938343462643402198901246573302,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-62455.249126525334,39239.14634167315
102211379879292387151958120108003679759,138_TH Prkcd_Grin2c,2015_TH Prkcd_Grin2c,-61426.2846291854,39906.1615679154
102213793763528395591748969868993478647,128_TH MH_Tac2,1848_TH MH_Tac2,-61282.710702905606,40684.13698119388
